Datum;Zeitstempel;Treatment;Entscheidung_1;Entscheidung_2;Codierung;Erinnerter_Preis;Angemessenheit;Wahrnehmungskontrast;Konzession;Reaktanz;Validitaetscheck;Angemessenheit_invertiert;Boomerang_Variable;Manipulationscheck_Preis;Manipulationscheck_Validitaet
22.06.2026; 15:43:16;6000;Ablehnung;Ablehnung;0;6000;1;4;5;1;2;5;3;Ja;Nein
22.06.2026; 15:43:19;10000;Ablehnung;Ablehnung;0;10000;1;1;3;5;5;5;5;Ja;Ja
22.06.2026; 15:49:13;849;Ablehnung;Ablehnung;0;850;4;2;3;1;4;2;1,5;Ja;Ja
22.06.2026; 15:49:29;10000;Ablehnung;Ablehnung;0;10000;1;3;4;2;4;5;3,5;Ja;Ja
22.06.2026; 15:49:48;1500;Ablehnung;Ablehnung;0;1500;2;3;2;1;4;4;2,5;Ja;Ja
22.06.2026; 15:53:59;1500;Ablehnung;Annahme;1;1500;1;3;3;1;4;5;3;Ja;Ja
22.06.2026; 15:54:17;8000;Ablehnung;Annahme;1;8000;5;2;4;4;3;1;2,5;Ja;Ja
22.06.2026; 15:56:24;10000;Ablehnung;Ablehnung;0;10000;1;3;2;4;4;5;4,5;Ja;Ja
22.06.2026; 15:56:26;1500;Annahme;Nicht benötigt (Direkte Annahme);;1500;3;4;3;1;4;3;2;Ja;Ja
22.06.2026; 16:00:36;8000;Ablehnung;Ablehnung;0;8000;1;3;5;3;5;5;4;Ja;Ja
22.06.2026; 16:00:47;849;Ablehnung;Annahme;1;849;3;3;4;2;5;3;2,5;Ja;Ja
22.06.2026; 16:03:09;10000;Ablehnung;Annahme;1;10000;1;4;4;2;4;5;3,5;Ja;Ja
22.06.2026; 16:03:53;4000;Ablehnung;Annahme;1;4000;1;3;4;2;5;5;3,5;Ja;Ja
22.06.2026; 16:06:36;1500;Ablehnung;Ablehnung;0;1500;1;2;2;5;4;5;5;Ja;Ja
22.06.2026; 16:07:12;1500;Ablehnung;Ablehnung;0;1500;2;2;2;4;4;4;4;Ja;Ja
22.06.2026; 16:41:36;1500;Ablehnung;Ablehnung;0;1500;2;4;4;3;4;4;3,5;Ja;Ja
22.06.2026; 16:42:07;8000;Ablehnung;Ablehnung;0;8000;1;4;3;4;2;5;4,5;Ja;Nein
22.06.2026; 16:44:03;10000;Ablehnung;Ablehnung;0;10000;1;3;5;5;5;5;5;Ja;Ja
22.06.2026; 16:46:44;1500;Ablehnung;Ablehnung;0;1500;1;3;2;3;4;5;4;Ja;Ja
22.06.2026; 16:47:04;4000;Ablehnung;Ablehnung;0;4000;1;2;1;5;3;5;5;Ja;Ja
22.06.2026; 16:47:06;8000;Ablehnung;Ablehnung;0;8000;1;3;3;5;2;5;5;Ja;Nein
22.06.2026; 16:47:36;1500;Ablehnung;Ablehnung;0;1500;3;3;3;3;1;3;3;Ja;Nein
22.06.2026; 16:49:39;8000;Ablehnung;Ablehnung;0;8000;1;3;1;5;5;5;5;Ja;Ja
22.06.2026; 16:50:13;1500;Ablehnung;Ablehnung;0;1500;2;3;3;4;4;4;4;Ja;Ja
22.06.2026; 16:55:39;1500;Ablehnung;Ablehnung;0;1500;2;3;3;4;4;4;4;Ja;Ja
22.06.2026; 16:56:03;10000;Ablehnung;Annahme;1;10000;1;5;5;1;2;5;3;Ja;Nein
22.06.2026; 16:56:08;849;Ablehnung;Ablehnung;0;849;2;3;2;1;3;4;2,5;Ja;Ja
22.06.2026; 16:56:10;10000;Ablehnung;Ablehnung;0;10000;1;4;3;4;2;5;4,5;Ja;Nein
22.06.2026; 16:56:23;6000;Ablehnung;Ablehnung;0;6000;1;2;2;4;4;5;4,5;Ja;Ja
22.06.2026; 17:00:10;1500;Ablehnung;Ablehnung;0;1500;1;3;4;5;3;5;5;Ja;Ja
22.06.2026; 17:00:38;8000;Ablehnung;Ablehnung;0;8000;1;2;3;3;4;5;4;Ja;Ja
22.06.2026; 17:04:04;4000;Ablehnung;Annahme;1;4000;1;4;4;2;4;5;3,5;Ja;Ja
22.06.2026; 17:04:16;6000;Ablehnung;Ablehnung;0;6000;1;3;3;4;5;5;4,5;Ja;Ja
22.06.2026; 17:04:21;1500;Ablehnung;Ablehnung;0;1500;1;3;3;5;5;5;5;Ja;Ja
22.06.2026; 17:04:23;849;Ablehnung;Ablehnung;0;849;5;4;5;5;5;1;3;Ja;Ja
22.06.2026; 17:20:18;849;Ablehnung;Ablehnung;0;849;3;2;1;1;4;3;2;Ja;Ja
22.06.2026; 17:23:30;6000;Ablehnung;Ablehnung;0;6000;1;3;4;1;5;5;3;Ja;Ja
22.06.2026; 17:24:07;6000;Ablehnung;Annahme;1;6000;2;5;5;2;2;4;3;Ja;Nein
22.06.2026; 17:27:45;6000;Ablehnung;Ablehnung;0;6000;1;2;3;5;2;5;5;Ja;Nein
22.06.2026; 17:29:26;4000;Ablehnung;Ablehnung;0;4000;1;3;3;4;2;5;4,5;Ja;Nein
22.06.2026; 17:31:47;8000;Ablehnung;Ablehnung;0;8000;1;3;1;5;1;5;5;Ja;Nein
22.06.2026; 17:31:59;10000;Ablehnung;Ablehnung;0;10000;1;2;3;5;4;5;5;Ja;Ja
22.06.2026; 17:38:19;4000;Ablehnung;Ablehnung;0;4000;1;3;4;5;5;5;5;Ja;Ja
22.06.2026; 17:38:30;849;Ablehnung;Ablehnung;0;846;3;1;1;4;3;3;3,5;Ja;Ja
22.06.2026; 17:42:03;8000;Ablehnung;Ablehnung;0;8000;1;2;2;4;5;5;4,5;Ja;Ja
22.06.2026; 17:45:53;4000;Ablehnung;Ablehnung;0;4000;1;2;2;5;1;5;5;Ja;Nein
22.06.2026; 17:49:38;849;Ablehnung;Ablehnung;0;846;2;3;3;4;2;4;4;Ja;Nein
22.06.2026; 18:17:23;4000;Ablehnung;Ablehnung;0;4000;1;3;3;2;4;5;3,5;Ja;Ja
22.06.2026; 18:17:36;1500;Ablehnung;Ablehnung;0;1500;1;2;2;4;4;5;4,5;Ja;Ja
22.06.2026; 18:19:28;1500;Ablehnung;Ablehnung;0;1500;2;3;3;2;4;4;3;Ja;Ja
22.06.2026; 18:20:00;8000;Ablehnung;Ablehnung;0;8000;1;1;2;5;3;5;5;Ja;Ja
22.06.2026; 18:22:17;10000;Ablehnung;Ablehnung;0;10000;1;4;5;4;4;5;4,5;Ja;Ja
22.06.2026; 18:22:27;4000;Ablehnung;Ablehnung;0;4000;1;4;2;5;5;5;5;Ja;Ja
22.06.2026; 18:25:14;10000;Ablehnung;Ablehnung;0;10000;1;1;5;5;5;5;5;Ja;Ja
22.06.2026; 18:27:01;4000;Ablehnung;Ablehnung;0;4000;2;3;1;4;4;4;4;Ja;Ja
22.06.2026; 18:27:19;1500;Ablehnung;Annahme;1;1500;1;4;2;2;3;5;3,5;Ja;Ja
22.06.2026; 18:29:26;6000;Annahme;Nicht benötigt (Direkte Annahme);;6000;1;3;3;5;2;5;5;Ja;Nein
22.06.2026; 18:32:03;10000;Ablehnung;Annahme;1;10000;1;3;3;2;4;5;3,5;Ja;Ja
22.06.2026; 18:32:12;1500;Ablehnung;Ablehnung;0;1500;1;3;4;5;4;5;5;Ja;Ja
22.06.2026; 18:34:01;849;Ablehnung;Ablehnung;0;850;2;2;2;2;4;4;3;Ja;Ja
22.06.2026; 18:34:44;4000;Ablehnung;Ablehnung;0;4000;1;2;4;5;5;5;5;Ja;Ja
22.06.2026; 18:36:24;10000;Ablehnung;Ablehnung;0;10000;1;3;2;3;2;5;4;Ja;Nein
22.06.2026; 18:36:44;849;Ablehnung;Ablehnung;0;849;2;3;3;3;1;4;3,5;Ja;Nein
19.08.2026; 16:43:43;8000;Ablehnung;Ablehnung;0;8000;1;1;1;3;5;5;4;Ja;Ja
19.08.2026; 16:46:14;1500;Ablehnung;Ablehnung;0;1500;2;3;4;4;5;4;4;Ja;Ja
19.08.2026; 16:48:14;849;Ablehnung;Ablehnung;0;;4;1;1;4;5;2;3;Nein;Ja
19.08.2026; 16:48:41;1500;Ablehnung;Ablehnung;0;1500;1;1;5;5;5;5;5;Ja;Ja
19.08.2026; 16:49:05;849;Ablehnung;Ablehnung;0;849;1;1;1;5;5;5;5;Ja;Ja
19.08.2026; 16:49:14;4000;Ablehnung;Ablehnung;0;4000;1;3;4;5;5;5;5;Ja;Ja
19.08.2026; 16:52:21;10000;Ablehnung;Annahme;1;10000;1;4;2;3;2;5;4;Ja;Nein
19.08.2026; 16:52:45;4000;Ablehnung;Ablehnung;0;4000;1;4;2;4;4;5;4,5;Ja;Ja
19.08.2026; 16:55:13;849;Annahme;Nicht benötigt (Direkte Annahme);1;840;4;4;1;1;3;2;1,5;Ja;Ja
19.08.2026; 16:58:38;8000;Ablehnung;Ablehnung;0;8000;1;3;2;4;4;5;4,5;Ja;Ja
19.08.2026; 17:01:02;4000;Ablehnung;Ablehnung;0;400800;3;2;1;3;2;3;3;Nein;Nein
19.08.2026; 17:03:10;8000;Ablehnung;Ablehnung;0;800;3;2;2;4;3;3;3,5;Nein;Ja
19.08.2026; 17:08:40;1500;Ablehnung;Ablehnung;0;900;4;5;2;3;3;2;2,5;Nein;Ja
19.08.2026; 17:10:24;4000;Ablehnung;Ablehnung;0;4000;1;4;4;3;3;5;4;Ja;Ja
19.08.2026; 17:10:24;10000;Ablehnung;Annahme;1;10000;1;4;3;1;3;5;3;Ja;Ja
19.08.2026; 17:12:28;8000;Ablehnung;Ablehnung;0;8000;1;3;2;4;1;5;4,5;Ja;Nein
19.08.2026; 17:13:23;849;Ablehnung;Ablehnung;0;875;3;3;3;5;5;3;4;Ja;Ja
19.08.2026; 17:13:33;849;Annahme;Nicht benötigt (Direkte Annahme);1;900;3;2;3;1;4;3;2;Ja;Ja
19.08.2026; 17:16:21;4000;Ablehnung;Ablehnung;0;4000;1;1;1;3;3;5;4;Ja;Ja
19.08.2026; 17:16:24;849;Ablehnung;Ablehnung;0;869;2;3;4;4;5;4;4;Ja;Ja
19.08.2026; 17:17:58;1500;Ablehnung;Ablehnung;0;849;1;2;2;3;5;5;4;Nein;Ja
19.08.2026; 17:18:36;1500;Ablehnung;Ablehnung;0;1500;2;2;4;3;4;4;3,5;Ja;Ja
19.08.2026; 17:18:51;10000;Ablehnung;Ablehnung;0;10000;1;4;5;2;4;5;3,5;Ja;Ja
19.08.2026; 17:21:01;849;Ablehnung;Ablehnung;0;849;2;3;3;3;2;4;3,5;Ja;Nein
19.08.2026; 17:22:42;4000;Ablehnung;Ablehnung;0;4000;2;3;5;2;4;4;3;Ja;Ja
19.08.2026; 17:22:51;8000;Ablehnung;Ablehnung;0;1000;1;3;2;2;4;5;3,5;Nein;Ja
19.08.2026; 17:24:52;6000;Ablehnung;Ablehnung;0;6000;1;4;3;2;5;5;3,5;Ja;Ja
19.08.2026; 17:26:17;6000;Ablehnung;Annahme;1;2000;1;4;3;4;3;5;4,5;Nein;Ja
19.08.2026; 17:28:46;8000;Ablehnung;Ablehnung;0;8000;1;3;4;4;3;5;4,5;Ja;Ja
19.08.2026; 17:29:03;10000;Ablehnung;Ablehnung;0;10000;1;3;3;4;5;5;4,5;Ja;Ja
19.08.2026; 17:30:52;4000;Ablehnung;Ablehnung;0;4000;1;4;3;5;5;5;5;Ja;Ja
19.08.2026; 17:31:28;6000;Ablehnung;Ablehnung;0;6000;1;2;1;5;2;5;5;Ja;Nein
19.08.2026; 17:34:09;1500;Ablehnung;Annahme;1;1500;1;3;4;2;4;5;3,5;Ja;Ja
19.08.2026; 17:34:11;4000;Ablehnung;Annahme;1;4000;2;4;4;3;5;4;3,5;Ja;Ja
19.08.2026; 17:34:38;6000;Ablehnung;Ablehnung;0;2000;1;2;3;4;5;5;4,5;Nein;Ja
19.08.2026; 17:45:36;10000;Ablehnung;Ablehnung;0;700800;2;2;3;3;5;4;3,5;Nein;Ja
19.08.2026; 17:45:44;10000;Ablehnung;Ablehnung;0;10000;1;3;4;3;3;5;4;Ja;Ja
19.08.2026; 17:45:46;6000;Ablehnung;Ablehnung;0;6500;1;4;2;4;5;5;4,5;Ja;Ja
19.08.2026; 17:49:05;8000;Ablehnung;Ablehnung;0;700;4;3;4;2;4;2;2;Nein;Ja
19.08.2026; 17:49:20;10000;Ablehnung;Ablehnung;0;10000;1;1;3;4;5;5;4,5;Ja;Ja
19.08.2026; 18:01:11;8000;Ablehnung;Annahme;1;8000;1;4;3;1;5;5;3;Ja;Ja
19.08.2026; 18:02:22;1500;Ablehnung;Ablehnung;0;1000;1;2;2;3;5;5;4;Nein;Ja
19.08.2026; 18:04:43;6000;Ablehnung;Annahme;1;6000;1;3;4;4;4;5;4,5;Ja;Ja
19.08.2026; 18:04:51;1500;Ablehnung;Ablehnung;0;1200;1;1;1;3;5;5;4;Nein;Ja
19.08.2026; 18:04:52;8000;Ablehnung;Ablehnung;0;1800;1;1;4;5;5;5;5;Nein;Ja
19.08.2026; 18:06:29;6000;Annahme;Nicht benötigt (Direkte Annahme);;35;3;5;4;2;1;3;2,5;Nein;Nein
19.08.2026; 18:06:59;1500;Annahme;Nicht benötigt (Direkte Annahme);;1500;3;3;4;1;4;3;2;Ja;Ja
19.08.2026; 18:09:54;6000;Ablehnung;Annahme;1;6000;1;5;4;1;4;5;3;Ja;Ja
19.08.2026; 18:10:01;849;Ablehnung;Ablehnung;0;849;3;1;1;1;5;3;2;Ja;Ja
19.08.2026; 18:23:49;8000;Ablehnung;Ablehnung;0;8000;1;2;4;5;5;5;5;Ja;Ja
19.08.2026; 18:24:39;849;Annahme;Nicht benötigt (Direkte Annahme);1;850;2;3;3;2;3;4;3;Ja;Ja
19.08.2026; 18:34:51;6000;Ablehnung;Annahme;1;6000;1;3;2;2;3;5;3,5;Ja;Ja
19.08.2026; 18:35:11;6000;Ablehnung;Ablehnung;0;6000;1;2;4;3;2;5;4;Ja;Nein
19.08.2026; 18:35:45;8000;Ablehnung;Ablehnung;0;8000;1;4;4;5;5;5;5;Ja;Ja
19.08.2026; 18:37:58;10000;Ablehnung;Ablehnung;0;10000;1;3;3;1;5;5;3;Ja;Ja
19.08.2026; 18:38:20;849;Ablehnung;Ablehnung;0;800;3;2;2;4;3;3;3,5;Ja;Ja
19.08.2026; 18:40:38;1500;Ablehnung;Ablehnung;0;1500;1;3;1;5;4;5;5;Ja;Ja
19.08.2026; 18:40:40;8000;Ablehnung;Ablehnung;0;1000;3;2;2;1;3;3;2;Nein;Ja
19.08.2026; 18:42:25;6000;Ablehnung;Ablehnung;0;6000;3;4;5;3;4;3;3;Ja;Ja
19.08.2026; 18:42:46;6000;Ablehnung;Ablehnung;0;6000;1;3;3;4;5;5;4,5;Ja;Ja
